question,contexts,answer,ground_truth
西藏购房补贴政策中，单套住房最高补贴金额是多少？,"['标题：西藏两部门优化购房补贴政策 单套住房最高补贴不超5万元\n内容：【西藏两部门优化购房补贴政策 单套住房最高补贴不超5万元】西藏自治区住房和城乡建设厅、西藏自治区财政厅近日发布关于调整优化实施自治区购房补贴政策的通知。优化补贴政策，自治区财政补贴标准上限不超过购房总价的3%，单套住房最高补贴不超过5万元，补贴时限为2025年1月1日至2026年3月25日。', '标题：湖北荆门购住房最高补14万元\n内容：荆门市近日发布《中心城区购房补贴实施办法》，确定以住房消费券形式发放购房补贴，购买一套住房最高补贴14万元。该《办法》覆盖高校毕业生、非中心城区户籍家庭及多孩家庭三类群体：高校毕业生购房补贴，在荆门市工作，未享受该市高校毕业生购房补贴政策的博士研究生、全日制硕士研究生、普通高校大学本科毕业生及专科毕业生，分别给予10万元、6万元、4万元、2万元购房补贴；非中心城区户籍家庭购房补贴，每个家庭一次性给予2万元购房补贴；多孩家庭购房补贴，二孩、三孩家庭一次性分别给予2万元、4万元购房补贴。高校毕业生购房补贴与非中心城区户籍家庭购房补贴不能叠加，按就高不就低原则使用；二孩三孩家庭购房补贴可与其他购房补贴叠加使用。']",西藏购房补贴政策中，单套住房最高补贴金额不超过5万元。,单套住房最高补贴不超过5万元。
我国在哪一领域实现了新的技术突破？,"['标题：我国科学家在高密度介电储能领域取得新突破\n内容：【我国科学家在高密度介电储能领域取得新突破】据南京航空航天大学，该校李伟伟教授与清华大学南策文院士等共同研制出一种新型介电储能材料，其能量密度是主流商用介电储能材料的数十至数百倍，有望成为下一代高功率脉冲技术的核心器件。国际顶级学术期刊《科学》4月11日在线发表了相关成果。', '标题：我国科学家在高密度介电储能领域取得新突破\n内容：据南京航空航天大学消息，该校李伟伟教授与清华大学南策文院士等共同研制出一种新型介电储能材料，其能量密度是主流商用介电储能材料的数十至数百倍，有望成为下一代高功率脉冲技术的核心器件。国际顶级学术期刊《科学》4月11日在线发表了相关成果。']",我国在高密度介电储能领域实现了新的技术突破。南京航空航天大学的李伟伟教授与清华大学南策文院士等共同研制出一种新型介电储能材料，其能量密度是主流商用介电储能材料的数十至数百倍，有望成为下一代高功率脉冲技术的核心器件。相关成果已发表在国际顶级学术期刊《科学》上。,我国在大容量风机智能除冰领域实现了新的技术突破。
谁因为无法忍受特朗普政府的“荒谬的（对等）关税算法”而打算辞职？,"['标题：“对等关税”太荒谬！美媒曝美财长受不了想辞职\n内容：【“对等关税”太荒谬！美媒曝美财长受不了想辞职】美国微软—全国广播公司主持人斯蒂芬妮·吕勒4日说，美国财政部长斯科特·贝森特无法忍受特朗普政府“荒谬的（对等）关税算法”，已打算辞职不干。', '标题：马斯克直接要求撤销对等关税 特朗普：我不听\n内容：【马斯克直接要求撤销对等关税 特朗普：我不听】当地时间4月7日，《华盛顿邮报》援引两位消息人士的话报道称，在过去的周末，美国政府效率部门负责人、全球首富马斯克直接向美国总统特朗普发出了撤销新关税政策的呼吁。报道称，马斯克的尝试没有成功。']",美国财政部长斯科特·贝森特因为无法忍受特朗普政府的“荒谬的（对等）关税算法”而打算辞职。,美国财政部长斯科特·贝森特。
美国政府的新关税政策会对巴西咖啡的哪方面产生影响？,"['标题：美关税新政推高巴西咖啡成本 行业人士称贸易战无赢家\n内容：【美关税新政推高巴西咖啡成本 行业人士称贸易战无赢家】近日，巴西咖啡行业人士表示，美国政府的新关税政策，将导致美国市场上巴西咖啡的相关成本增加，最终这将转嫁给美国消费者，美国消费者将可能面临更昂贵的巴西咖啡价格。巴西咖啡生产商 何塞奥斯卡辛特拉表示，美国总统特朗普正在挑起贸易战，在这场战争中没有赢家。', '标题：美国多行业从业者称成本增加将转嫁给消费者\n内容：【美国多行业从业者称成本增加将转嫁给消费者】美国多个行业的从业人员表示，美国政府提出的新关税政策将导致成本增加，最终会转嫁到消费者身上。位于加利福尼亚州海沃德的一家海鲜经销商，主要向日料店提供海鲜。受新的关税政策影响，这里的负责人表示，公司预计将为海鲜进口支付更高的价格，最终会直接体现在顾客的餐桌上。']",美国政府的新关税政策将导致巴西咖啡在美国市场的相关成本增加，最终可能会转嫁给美国消费者，使他们面临更昂贵的巴西咖啡价格。此外，巴西咖啡生产商认为美国总统特朗普正在挑起贸易战，而在这场战争中没有赢家。,美国政府的新关税政策将导致美国市场上巴西咖啡的相关成本增加，最终可能导致美国消费者面临更昂贵的巴西咖啡价格。
上海航交所本周报告中提到的中国出口集装箱运输市场情况如何？,"['标题：上海航交所：本周出口集装箱运输市场需求总体稳定 多数航线运价上涨\n内容：【上海航交所：本周出口集装箱运输市场需求总体稳定 多数航线运价上涨】据上海航交所，本周，中国出口集装箱运输市场需求总体稳定，多数航线运价上涨，带动综合指数上涨。3月中国财新综合PMI升至51.8，企业信心水平处于2024年初以来最高点。其中，3月制造业PMI升至51.2，为四个月来最高。', '标题：上海航交所：出口集装箱运输市场止跌企稳，多数航线运价反弹\n内容：【上海航交所：出口集装箱运输市场止跌企稳，多数航线运价反弹】3月29日，上海航运交易所官微发布中国出口集装箱运输市场周度报告显示，中国出口集装箱运输市场经过连续的调整行情后，本周出现企稳迹象，运输需求保持平稳，多数航线市场运价出现反弹，综合指数上涨。3月28日，上海航运交易所发布的上海出口集装箱综合运价指数为1356.88点，较上期上涨5.0%。']",本周中国出口集装箱运输市场需求总体稳定，多数航线运价出现上涨，带动综合指数上升。具体来看，经过连续的调整行情后，市场出现企稳迹象，运输需求保持平稳，多条航线市场运价反弹。此外，3月28日发布的上海出口集装箱综合运价指数为1356.88点，相比上期上涨了5.0%。同时，3月中国财新综合PMI升至51.8，企业信心水平达到2024年初以来的最高点，其中制造业PMI升至51.2，为四个月来的最高值，显示出市场整体向好的趋势。,本周中国出口集装箱运输市场需求总体稳定，多数航线运价上涨，带动综合指数上涨。
国家电网一季度的投资增长比例是多少？,"['标题：国家电网一季度投资同比增长27.7% 创历史同期新高\n内容：【国家电网一季度投资同比增长27.7% 创历史同期新高】一季度，国家电网有限公司加快电网投资建设，推进大规模设备更新改造，推动各级电网协调发展。截至3月底，电网投资同比增长27.7%，创一季度历史新高，实现“开门红”。截至3月31日，公司110千伏至750千伏交流工程开工线路7687公里、变电容量4744万千伏安，投产线路7348公里、变电容量5861万千伏安，实现了进度与时间同步。', '标题：一季度国家电网投资同比增长27.7% 创历史同期新高\n内容：【一季度国家电网投资同比增长27.7% 创历史同期新高】据国家电网有限公司官网消息，一季度，国家电网有限公司加快电网投资建设，推进大规模设备更新改造，推动各级电网协调发展。截至3月底，电网投资同比增长27.7%，创一季度历史新高，实现“开门红”。']",国家电网一季度的投资增长比例是27.7%。,27.70%
吉林规定的一般工商业光伏余电上网电量比例上限是多少？,"['标题：吉林：一般工商业光伏余电上网电量不超20% 超出不予接入\n内容：【吉林：一般工商业光伏余电上网电量不超20% 超出不予接入】吉林省能源局4月3日公布《关于转发国家能源局《分布式光伏发电开发建设管理办法》的通知》，对规范分布式光伏发电项目管理提出若干要求。《通知》要求，省能源局会同电网企业对项目余电上网比例逐年动态调整，2025年一般工商业自发自用余电上网类项目年度上网电量不超过全部发电量的20%。', '标题：投资165亿元 晋能5GW光伏大基地项目开工\n内容：【投资165亿元 晋能5GW光伏大基地项目开工】山西晋北采煤沉陷区新能源基地的三大光伏项目——左云160万千瓦、云冈170万千瓦、新荣170万千瓦项目同步开工，标志着这一总投资达165亿元、总装机容量达500万千瓦（5GW）的光伏矩阵正式启动建设。']",吉林规定的一般工商业光伏余电上网电量比例上限是20%。,20%
国金证券建议4月A股的配置重心向哪个方向倾斜？,"['标题：国金证券：4月A股风格偏向“盈利底”逻辑 配置重心可向大盘价值倾斜\n内容：【国金证券：4月A股风格偏向“盈利底”逻辑 配置重心可向大盘价值倾斜】国金证券首席策略分析师张弛在4月5日最新发布的报告中指出，结合近期A股现状，接下来的一个季度内，市场风格将偏向“盈利底”逻辑，建议投资者采取“中小盘成长风格切换至大盘价值防御”的配置策略。', '标题：4月决断：市场进入基本面驱动阶段 业绩确定性成为抓手\n内容：【4月决断：市场进入基本面驱动阶段 业绩确定性成为抓手】上周，A股科技板块下行，市场延续窄幅震荡格局。从3月整体表现看，A股主要指数走势分化明显。行业方面，有色金属、社会服务、煤炭等方向涨幅居前，计算机、电子、通信等成长板块表现较弱。进入4月，A股将进入财报窗口期。机构普遍认为，业绩确定性将成为4月市场获取超额收益的主要抓手，资金关注点将逐渐切换至基本面。不过，中期视角下，AI产业链的产业趋势仍在演绎，整体景气度稳中向好，投资者可逢低布局。']",国金证券建议4月A股的配置重心向大盘价值倾斜。国金证券首席策略分析师张弛在报告中指出，结合近期A股现状，接下来的一个季度内，市场风格将偏向“盈利底”逻辑，建议投资者采取“中小盘成长风格切换至大盘价值防御”的配置策略。,大盘价值防御。
美国对中国及其他贸易伙伴加征关税的行为违反了哪个组织的规则？,"['标题：中国轻工工艺品进出口商会：美国单方面征税做法严重违反世贸组织规则\n内容：【中国轻工工艺品进出口商会：美国单方面征税做法严重违反世贸组织规则】中国轻工工艺品进出口商会今日就美征收所谓“对等关税”一事发表声明。我会坚决拥护政府的决定，坚决支持政府采取的反制措施。我会呼吁国际产业界、各国轻工企业和上下游合作伙伴携起手来，联合反对美国的贸易霸凌做法，团结协作，共同应对美方单边措施带来的系列问题。', '标题：新加坡总理：美国关税政策违反世贸组织规则\n内容：【新加坡总理：美国关税政策违反世贸组织规则】新加坡总理黄循财8日在国会发表讲话时表示，美国对新加坡征收所谓“对等关税”既违背了两国自由贸易协定，也违反世界贸易组织规则。']",美国对中国及其他贸易伙伴加征关税的行为违反了世界贸易组织的规则。这一行为不仅受到了中国轻工工艺品进出口商会的批评，也被新加坡总理黄循财明确指出为违反世贸组织规则的行为。此外，美国的这种单方面征税做法被认定为贸易霸凌，遭到了国际社会的联合反对。,世界贸易组织规则
为什么美国人在关税政策出台前抢购中国品牌的电视机？,"['标题：美国人开启囤货潮 中国电视被买空\n内容：【美国人开启囤货潮 中国电视被买空】据报道，美国人早在关税政策正式出台前已经开始紧张，从大学生、全职妈妈到企业高管......全美各阶层民众已掀起“未雨绸缪”式消费潮。 一位50岁的纽约市民表示，在跑了多家商店并向店员致电争取后，终于抢购到那家商店最后一台中国品牌的电视机。', '标题：“中国商品被抢空”！美国人疯狂囤货 亿万富翁号召：从牙膏到肥皂 趁早买起来！中国电视被买断货\n内容：【“中国商品被抢空”！美国人疯狂囤货 亿万富翁号召：从牙膏到肥皂 趁早买起来！中国电视被买断货】据央视新闻报道，根据特朗普本月2日签署的关于所谓“对等关税”的行政令，美国定于5日开始对所有贸易伙伴加征10%的“最低基准关税”。对某些贸易伙伴征收更高的“对等关税”，这些措施将于9日生效。']",在美国关税政策正式出台前，美国人担心关税上涨会导致商品价格上涨，因此开始紧张并掀起“未雨绸缪”式的消费潮。一位50岁的纽约市民在跑了多家商店并向店员致电争取后，终于抢购到一家商店最后一台中国品牌的电视机。这是因为美国人预期关税政策实施后，中国商品价格可能会上涨，所以选择提前购买以避免未来的经济负担。此外，这种抢购行为不仅限于电视机，还包括其他中国商品，如牙膏和肥皂等。,因为美国人担心关税政策会导致价格上涨，因此提前囤货，掀起了一股“未雨绸缪”式的消费潮。
哪家公司发布了A股首份阿拉伯语年报摘要？,"['标题：A股首现阿拉伯语年报摘要\n内容：【A股首现阿拉伯语年报摘要】小商品城4月4日发布了2024年年报，除了中文版本外，公司还披露了英文版和阿拉伯语版本。这是A股历史上首份由阿拉伯语编辑的上市公司年报摘要。一位熟悉公司的人士表示，内容上各个版本都是一样的，此举应该是为了方便境外投资者了解公司。', '标题：A股首份！阿拉伯语版年报摘要出炉\n内容：【A股首份！阿拉伯语版年报摘要出炉】A股首现阿拉伯语版本年报，这进一步彰显了A股上市公司的国际吸引力。4月4日，小商品城发布2024年年报摘要（阿拉伯语版）以及（英语版），增添了A股上市公司年报披露的多样性、可读性。从内容来看，两份外语版年报摘要与中文版相同，不过披露时间略晚于中文版年报。此前于3月27日，小商品城正式发布2024年年报。']",小商品城发布了A股首份阿拉伯语年报摘要。,小商品城发布了A股首份阿拉伯语年报摘要。
上合组织国际合作与地区安全问题副外长级磋商在哪座城市举行？,"['标题：外交部部长助理刘彬出席上合组织国际合作与地区安全问题副外长级磋商\n内容：【外交部部长助理刘彬出席上合组织国际合作与地区安全问题副外长级磋商】2025年4月3日，外交部部长助理刘彬出席在莫斯科举行的上合组织国际合作与地区安全问题副外长级磋商。各方就加强政策对接协调、维护地区安全稳定、完善上合组织运作机制等问题交换意见，表示将大力支持配合中方做好主席国工作、办好天津峰会，愿以此为契机加强团结协作，共护和平安宁，共谋发展繁荣，造福地区人民。', '标题：上合组织可持续发展投资促进活动在津举行\n内容：【上合组织可持续发展投资促进活动在津举行】今天，上合组织成员国投资促进工作组第九次会议在天津市召开，同日举办中国—上合组织可持续发展产业合作大会，来自政府、领军企业、专业机构的近400名国内外代表相聚天津，共商发展大计。本次活动将围绕“上合组织可持续发展年”的主题推动系列务实合作，邀请多位重量级嘉宾在会上分享观点，一批重点项目将集中签约。']",磋商在莫斯科举行。,莫斯科
以色列总理内塔尼亚胡什么时候将与特朗普讨论关税问题？,"['标题：以总理预计将于周一与特朗普讨论关税问题\n内容：【以总理预计将于周一与特朗普讨论关税问题】三名以色列官员周六表示，以色列总理内塔尼亚胡预计将于周一访问白宫，与美国总统特朗普讨论最近宣布的关税问题。', '标题：以总理办公室证实内塔尼亚胡将访美 与特朗普讨论关税等问题\n内容：【以总理办公室证实内塔尼亚胡将访美 与特朗普讨论关税等问题】当地时间4月5日晚，以色列总理办公室在一份声明中表示，应美国总统特朗普邀请，内塔尼亚胡将于4月6日启程飞往华盛顿。']",内塔尼亚胡预计将于周一访问白宫，与美国总统特朗普讨论最近宣布的关税问题。按照当地时间4月5日晚以色列总理办公室发布的声明，内塔尼亚胡将于4月6日启程飞往华盛顿。,预计将于周一。
港股创新药的估值扩张弹性空间与A股相比如何？,"['标题：国金证券：港股创新药的“估值扩张弹性、空间”或强于A股\n内容：【国金证券：港股创新药的“估值扩张弹性、空间”或强于A股】国金证券研报认为，AI赋能之下，研发周期缩短、成本下降、效率提升等，均将从中期维度提振创新药企的IRR水平，板块或将有望迎来新的成长逻辑。港股创新药的“估值扩张弹性、空间”或强于A股。', '标题：创新药ETF沪港深（159622）涨超4% 多家创新药企营收增长显著 康方生物、和黄医药涨超10%\n内容：【创新药ETF沪港深（159622）涨超4% 多家创新药企营收增长显著 康方生物、和黄医药涨超10%】4月1日早盘，创新药ETF沪港深（159622）涨超4%，今年以来已涨20%。成份股康方生物、荣昌生物、和黄医药涨超10%，石药集团、信达生物涨超8%，药明合联、康龙化成涨超6%，药明生物、贝达药业、康哲药业、金斯瑞生物科技涨超5%。']",港股创新药的“估值扩张弹性、空间”可能强于A股。国金证券研报指出，AI赋能下研发周期缩短、成本下降、效率提升等因素将从中期维度提振创新药企的IRR水平，从而使板块有望迎来新的成长逻辑。因此，在这些因素的影响下，港股创新药的估值扩张弹性及空间相对A股更具优势。,港股创新药的“估值扩张弹性、空间”或强于A股。
2025年清明档期票房（含预售）什么时候突破3亿？,"['标题：清明档期票房（含预售）突破3亿\n内容：截至4月5日20时32分，2025年清明档（4月4日—4月6日）档期票房（含预售）突破3亿。', '标题：2025清明档新片票房破3亿\n内容：【2025清明档新片票房破3亿】网络平台数据显示，截至4月6日17时13分，2025年清明档新片（含重映）票房（含点映及预售）突破3亿，影片《我的世界大电影》《向阳·花》《不说话的爱》位列前三。']",截至4月5日20时32分，2025年清明档期票房（含预售）突破3亿。另外，新片票房（含点映及预售）则在4月6日17时13分突破3亿。,截至4月5日20时32分。
谁警告称特朗普的新关税可能使美国经济陷入衰退？,"['标题：“木头姐”称特朗普关税可能使美国陷入衰退\n内容：【“木头姐”称特朗普关税可能使美国陷入衰退】方舟投资管理公司创始人兼CEO凯茜·伍德周五警告称，特朗普新关税可能会使美国经济陷入衰退。', '标题：美联储官员警告通胀衰退风险显著上升\n内容：当地时间4月10日，美国联邦储备委员会的一名高级官员表示，美国总统特朗普的关税政策将导致美国通胀上升和经济衰退的风险“显著增加”。同一天，美国摩根大通公司也发出警告称，美经济衰退可能性高达60%。']",凯茜·伍德警告称特朗普的新关税可能使美国经济陷入衰退。她是方舟投资管理公司的创始人兼CEO，被称为“木头姐”。此外，美联储的一名高级官员也表示，特朗普的关税政策将导致美国通胀上升和经济衰退的风险“显著增加”。,方舟投资管理公司创始人兼CEO凯茜·伍德。
马来西亚将与哪些国家就美国关税措施展开磋商？,"['标题：马来西亚：将与东盟各国就美国关税措施展开磋商 力求达成共同立场\n内容：【马来西亚：将与东盟各国就美国关税措施展开磋商 力求达成共同立场】马来西亚总理安瓦尔4月4日表示，作为东盟轮值主席国，马来西亚将与东盟各国就美国对等关税系列措施展开磋商，力求达成共同立场，维护国际贸易的公平原则。', '标题：马来西亚总理：将采取一切必要措施维护本国经济利益\n内容：【马来西亚总理：将采取一切必要措施维护本国经济利益】马来西亚总理安瓦尔8日表示，面对美国“对等关税”政策的挑战，马来西亚将采取一切必要措施来维护经济利益。']",马来西亚将与东盟各国就美国关税措施展开磋商。,马来西亚将与东盟各国就美国关税措施展开磋商。
比亚迪方程豹3月销量是多少？,"['标题：比亚迪方程豹卖爆了！销量同比增长126.8%\n内容：【比亚迪方程豹卖爆了！销量同比增长126.8%】刚刚，比亚迪发布数据：方程豹汽车3月销售8051辆，环比增长56.9%，同比增长126.8%。其中，豹5销售6036辆，稳坐硬派越野冠军。豹8销售2015辆，居40万级新能源SUV前32。', '标题：比亚迪：2025年3月销量377420辆，同比增长24.8%\n内容：金融界4月10日消息，比亚迪披露投资者关系活动记录表显示，2025年3月，比亚迪实现销量377420辆，同比增长24.8%。其中，乘用车及皮卡海外销售72407辆，王朝和海洋系列销售350615辆，方程豹销售8051辆，腾势销售12620辆，仰望销售133辆。']",比亚迪方程豹3月销量为8051辆。,8051辆。
以色列总理内塔尼亚胡预计什么时候访问美国白宫？,"['标题：白宫官员称以总理预计4月7日访美\n内容：【白宫官员称以总理预计4月7日访美】当地时间4月5日，据美国白宫官员称，以色列总理内塔尼亚胡预计将于4月7日访问美国白宫。', '标题：以总理办公室证实内塔尼亚胡将访美 与特朗普讨论关税等问题\n内容：【以总理办公室证实内塔尼亚胡将访美 与特朗普讨论关税等问题】当地时间4月5日晚，以色列总理办公室在一份声明中表示，应美国总统特朗普邀请，内塔尼亚胡将于4月6日启程飞往华盛顿。']",内塔尼亚胡预计将于4月7日访问美国白宫。,4月7日
哪些稀土元素被纳入了出口管制？,"['标题：商务部 海关总署公告2025年第18号 公布对部分中重稀土相关物项实施出口管制的决定\n内容：商务部、海关总署公告2025年第18号，公布对部分中重稀土相关物项实施出口管制的决定。', '标题：中重稀土成首个被纳入出口管制的两用物质 业内：预计带动中重稀土价格上涨\n内容：【中重稀土成首个被纳入出口管制的两用物质 业内：预计带动中重稀土价格上涨】4月4日，商务部会同海关总署发布关于对钐、钆、铽、镝、镥、钪、钇等7类中重稀土相关物项实施出口管制措施的公告，并于发布之日起正式实施。据公告，实施出口管制措施的7类中重稀土相关物项涵盖金属、合金、靶材、氧化物、化合物等多种形态。']",被纳入出口管制的稀土元素包括钐、钆、铽、镝、镥、钪、钇等7类中重稀土相关物项。这些物项涵盖金属、合金、靶材、氧化物、化合物等多种形态。,钐、钆、铽、镝、镥、钪、钇等7类中重稀土相关物项被纳入了出口管制。
对华加征关税会使苹果公司每年增加多少成本？,"['标题：摩根士丹利：对华加征关税将使苹果公司每年增加约85亿美元成本\n内容：【摩根士丹利：对华加征关税将使苹果公司每年增加约85亿美元成本】美国总统特朗普宣布“对等关税”方案后，苹果公司股价连续两个交易日遭遇重挫，市值大幅缩水。根据投行摩根士丹利的测算，对华加征关税将使苹果公司每年增加约85亿美元的成本。路透社则援引分析人士的话称，如果苹果公司将关税成本全部转嫁给消费者，iPhone16 Pro Max的在美零售价将从现在的1599美元，上涨到2300美元（约合16750元人民币）。在特朗普第一个任期内，苹果公司开始推动供应链多元化，但特朗普政府计划对东南亚国家普遍征收高额“对等关税”，无疑将重创苹果公司的供应链。', '标题：美国加征关税的代价有多大？用一部手机的价格告诉你\n内容：【美国加征关税的代价有多大？用一部手机的价格告诉你】以一部256GB版本的iPhone 16 Pro为例，官方售价为1100美元。根据美国媒体计算的数据，苹果公司制作一部手机，所有硬件成本加起来约549.73美元。其中有来自中国、韩国和日本等多个国家的零部件，如果再加上组装和测试，手机成本大约580美元。目前，在美国销售的所有iPhone基本都是在中国组装和生产。在美国宣布对华加征34%的所谓“对等关税”后，加上已有的20%关税，美国对华征收关税税率将达54%，这些零部件打包出口到美国，增加的税额将达到296.86美元，使一部手机成本上升到876.79美元，涨幅超过50%。']",摩根士丹利测算，对华加征关税将使苹果公司每年增加约85亿美元的成本。,85亿美元
国家数据局局长刘烈宏调研了哪家公司？,"['标题：国家数据局局长刘烈宏到中国移动咪咕公司调研\n内容：【国家数据局局长刘烈宏到中国移动咪咕公司调研】国家数据局局长刘烈宏一行4月3日到中国移动咪咕公司调研数据开发利用、数字内容场景建设、AI创新产品开发情况，并召开座谈会。刘烈宏指出，希望中国移动在深化数据要素市场化配置改革、建强数据基础设施等方面发挥更大作用。', '标题：国家数据局：“人工智能+”行动到哪里 高质量数据集的建设和推广就要到哪里\n内容：【国家数据局：“人工智能+”行动到哪里 高质量数据集的建设和推广就要到哪里】国新办今日就第八届数字中国建设峰会有关情况举行发布会，国家发展改革委党组成员、国家数据局局长刘烈宏表示，积极引导做好高质量数据集建设工作，“人工智能+”行动到哪里，高质量数据集的建设和推广就要到哪里。']",刘烈宏调研了中国移动咪咕公司。他在4月3日到该公司调研数据开发利用、数字内容场景建设、AI创新产品开发情况，并召开了座谈会。,中国移动咪咕公司
中粮资本发布的声明中提到的不法分子使用了哪些渠道散布虚假APP链接？,"['标题：知名央企旗下上市公司发布声明：已向相关部门举报！\n内容：【知名央企旗下上市公司发布声明：已向相关部门举报！】4月5日，中粮资本发布声明，称有不法分子通过短信、微信等渠道散布虚假“中粮资本”APP链接，并通过该虚假APP诱导用户充值扣费等。', '标题：银华基金：近期有不法分子假冒公司名义谋取非法利益\n内容：4月10日晚间银华基金发布澄清公告称，近期发现有不法分子假冒该公司及公司员工名义，通过电话、QQ群、短视频、游戏植入式广告、线下推广等方式诱导投资者下载仿冒APP或通过提供仿冒网站链接、伪造公司法律文件或交易记录等方式，引诱投资者充值、转账，或冒充公司员工提供非法证券咨询等服务，谋取非法利益。银华基金声明，该公司及全体员工从未开展或授意任何个人或机构以任何形式从事任何种类的非法证券咨询、非法集资等非法活动，亦不会在任何不具备基金销售资格的机构销售公募基金、私募资产管理计划或与其合作开展基金投资顾问业务。']",中粮资本发布的声明中提到的不法分子使用了短信、微信等渠道散布虚假“中粮资本”APP链接。,不法分子通过短信、微信等渠道散布虚假“中粮资本”APP链接。
泰国3月份的整体通胀率同比上涨了多少？,"['标题：泰国3月整体消费者物价指数(CPI)较上年同期上涨0.8%\n内容：泰国3月整体消费者物价指数(CPI)较上年同期上涨0.8%，泰国3月核心CPI较上年同期上涨0.9%。', '标题：泰国通胀率连续12个月走高\n内容：【泰国通胀率连续12个月走高】泰国商务部5日发布消息称，3月份泰国整体通胀率同比上涨0.84%，连续第12个月同比上涨。']",泰国3月份的整体通胀率同比上涨了0.84%。,0.84%
中方针对美方加征的“对等关税”采取了怎样的反制措施？,"['标题：外交部回应美方加征对等关税\n内容：【外交部回应美方加征对等关税】美方打着“对等”的幌子，对包括中国在内的多国输美产品加征关税，严重违反世贸组织规则，严重损害以规则为基础的多边贸易体制。中方对此坚决反对，将采取必要措施坚定维护自身正当利益。中方多次强调，贸易战、关税战没有赢家，保护主义没有出路。中方敦促美方纠正错误做法，以平等、尊重、互惠的方式，同包括中国在内的世界各国磋商解决贸易分歧。', '标题：中方反制美方对等关税有理更有力\n内容：【中方反制美方对等关税有理更有力】针对美方近期加征所谓“对等关税”，中方11箭齐发，坚决反制，行动果决。 一次性对美加征34%关税，一方面是要清楚表明，想让我们打不还手、吞下损害自身发展利益的苦果，是不可能的；另一方面也是向国际社会传达一种态度，对于违反国际规则的单边霸凌行径，中方会毫不犹豫、反制到底。 这次反制行动有力度更有速度。这样的速度意味着我们提前做好了充分准备，打的是有准备之仗，对美反制的工具和措施充足。 关税战、贸易战没有赢家。中美经贸关系的本质是互利共赢，真正的“对等”是回到相互尊重、合作共赢的正确轨道上来。如果美方继续滥用关税大棒，付出最惨重代价的只会是美国自己。']","中方针对美方加征的所谓“对等关税”采取了坚决有力的反制措施。具体来说，中方一次性对美加征34%的关税，明确表明不会接受损害自身发展利益的行为。同时，这一行动也向国际社会传达了中方对于违反国际规则的单边霸凌行径毫不妥协的态度，表示将毫不犹豫、反制到底。

此次反制行动不仅力度大而且速度快，显示出中方提前做好了充分准备，具备充足的工具和措施来应对美方的关税政策。中方强调，贸易战和关税战没有赢家，中美经贸关系的本质是互利共赢，真正的“对等”应基于相互尊重与合作双赢。如果美方继续滥用关税手段，最终受损最严重的是美国自身。",中方一次性对美加征34%关税，同时以11项措施坚决反制，行动果决且准备充分。
为什么东方树叶龙井新茶在二手平台溢价幅度最高达67%？,"['标题：茶饮市场批量上新“明前龙井”！有品牌二手平台一箱溢价高达67% 线下缺货\n内容：【茶饮市场批量上新“明前龙井”！有品牌二手平台一箱溢价高达67% 线下缺货】3月20日，农夫山泉（09633.HK）旗下东方树叶率先发售龙井新茶，迅速售罄。此外，平仄、果子熟了以及香飘飘等品牌也纷纷推出各自的“明前龙井”茶饮产品，定价从单瓶5元到16元不等。目前，东方树叶龙井新茶一箱在二手平台溢价幅度最高达67%，线下渠道也处于缺货状态。', '标题：隆基绿能午后跌幅扩大至6%\n内容：隆基绿能午后跌幅扩大至6%，成交额超16亿元。']",东方树叶龙井新茶在二手平台溢价幅度最高达67%的原因主要是因为产品供不应求。3月20日，农夫山泉旗下东方树叶率先发售龙井新茶，并迅速售罄。由于市场对这款新茶的需求旺盛，而供应有限，导致在线下渠道出现缺货情况。在这种供需失衡的情况下，二手平台上的卖家趁机抬高价格，从而出现了高达67%的溢价现象。,因为线下渠道缺货，导致二手平台上该产品需求增加，从而出现溢价现象。
全球富豪在两天内损失了多少亿元？,"['标题：惨烈！全球富豪两日损失超39000亿元\n内容：【惨烈！全球富豪两日损失超39000亿元】受美国总统特朗普“对等关税”政策落地影响，近两日，全球金融市场大幅调整，美股连续两日暴跌，蒸发近6.5万亿美元（折合人民币超47万亿元）的市值。除了美股外，欧股、亚太股市、黄金、白银、原油等亦大幅下挫。', '标题：全球最富500人两天损失5360亿美元\n内容：【全球最富500人两天损失5360亿美元】据彭博社4月4日报道，在美国总统特朗普宣布关税新措施引发全球市场暴跌后，全球最富有的500人两天内遭遇了“彭博亿万富翁指数”史上最大规模的损失。']",全球富豪在两天内损失了超过39000亿元。,超过39000亿元。
